Name,Affiliation,Phonebook
Michael Lawrence,Roche / Genentech,Michael Lawrence (Roche / Genentech)
James Black,Roche / Genentech,James Black (Roche / Genentech)
Ed Lauzier,Merck,Ed Lauzier (Merck)
Bella Feng,Gilead,Bella Feng (Gilead)
John Sims,Pfizer,John Sims (Pfizer)
Min Lee,Amgen,Min Lee (Amgen)
Harvey Lieberman,Sanofi,Harvey Lieberman (Sanofi)
Jason Stevens,BMS,Jason Stevens (BMS)
Rose Grandy,Abbott,Rose Grandy (Abbott)
Yilong Zhang,Merck,Yilong Zhang (Merck)
Boyd Gonnerman,Pfizer,Boyd Gonnerman (Pfizer)
Ian Wallace,Celgene,Ian Wallace (Celgene)
Dillon McCalmon,Boehringer Ingelheim,Dillon McCalmon (Boehringer Ingelheim)
Yi Wang,Pfizer,Yi Wang (Pfizer)
Reinhold Koch,Roche / Genentech,Reinhold Koch (Roche / Genentech)
Elena Rantou,FDA,Elena Rantou (FDA)
Keaven Anderson,Merck,Keaven Anderson (Merck)
Alun Bedding,Roche / Genentech,Alun Bedding (Roche / Genentech)
Marianna Foos,bluebirdbio,Marianna Foos (bluebirdbio)
Abhik Seal,Abbvie,Abhik Seal (Abbvie)
Pragathi Kotha Venkata,GSK,Pragathi Kotha Venkata (GSK)
Aedin Culhane,Dana-Farber,Aedin Culhane (Dana-Farber)
Gianna Huang,Gilead,Gianna Huang (Gilead)
Jem Chang,Pharmacyclics,Jem Chang (Pharmacyclics)
Debbie Morreall,University of Utah,Debbie Morreall (University of Utah)
Xiao Ni,Novartis,Xiao Ni (Novartis)
Yihan Jiang,Gilead,Yihan Jiang (Gilead)
Andy Nicholls,GSK,Andy Nicholls (GSK)
Paul Schuette,FDA,Paul Schuette (FDA)
Will Landau,Eli Lilly,Will Landau (Eli Lilly)
Paulo Bargo,Johnson & Johnson,Paulo Bargo (Johnson & Johnson)
Ting-Yu Liu,Pharmacyclics,Ting-Yu Liu (Pharmacyclics)
Adrian Waddell,Roche / Genentech,Adrian Waddell (Roche / Genentech)
Pavan Vaddady,Merck,Pavan Vaddady (Merck)
Bob Engle,Biogen,Bob Engle (Biogen)
Phil Bowsher,RStudio,Phil Bowsher (RStudio)
Kate Ostbye,Fred Hutch,Kate Ostbye (Fred Hutch)
Garrett Grolemund,RStudio,Garrett Grolemund (RStudio)
Volha Tryputsen,Johnson & Johnson,Volha Tryputsen (Johnson & Johnson)
Max Kuhn,RStudio,Max Kuhn (RStudio)
Satish Murthy,Johnson & Johnson,Satish Murthy (Johnson & Johnson)
Regis James,Regeneron,Regis James (Regeneron)
Neby Beleke,Gilead,Neby Beleke (Gilead)
Vincent Shen,Roche / Genentech,Vincent Shen (Roche / Genentech)
"Walls, Robert",Roche / Genentech,"Walls, Robert (Roche / Genentech)"
Greg Campbell,Gilead,Greg Campbell (Gilead)
Chase Clark,University of Illinois at Chicago,Chase Clark (University of Illinois at Chicago)
Quan Wan,Sanofi,Quan Wan (Sanofi)
Nathaniel Phillips,Roche / Genentech,Nathaniel Phillips (Roche / Genentech)
Juha-Pekka Perttola,Roche / Genentech,Juha-Pekka Perttola (Roche / Genentech)
Gordon Turner,Novartis,Gordon Turner (Novartis)
Michael Martinec,Roche / Genentech,Michael Martinec (Roche / Genentech)
Michael Steeves,Bioteam,Michael Steeves (Bioteam)
Fairouz Makhlouf,FDA,Fairouz Makhlouf (FDA)
Kelly O'Briant,RStudio,Kelly O'Briant (RStudio)
Melvin Munsaka,Abbvie,Melvin Munsaka (Abbvie)
Steven Martin,Pfizer,Steven Martin (Pfizer)
Michael Blanks,Beigene,Michael Blanks (Beigene)
Elizabeth Hess,IQSS Harvard,Elizabeth Hess (IQSS Harvard)
Eric Nantz,Eli Lilly,Eric Nantz (Eli Lilly)
Nam Hee Choi,FDA,Nam Hee Choi (FDA)
Julianne Manitz,Merck,Julianne Manitz (Merck)
Jessica Myers Franklin,Harvard,Jessica Myers Franklin (Harvard)
Marcus Adams,Merck,Marcus Adams (Merck)
Doug Kelkhoff,Roche / Genentech,Doug Kelkhoff (Roche / Genentech)
Romi Admanit,Biogen,Romi Admanit (Biogen)
Nate Mockler,Biogen,Nate Mockler (Biogen)
Bo Wang,Biogen,Bo Wang (Biogen)
Marianna Grinberg,Merck,Marianna Grinberg (Merck)
Ryan Gan,Roche / Genentech,Ryan Gan (Roche / Genentech)
Li Zheng,Roche / Genentech,Li Zheng (Roche / Genentech)
Becca Krouse,Rho,Becca Krouse (Rho)
Joost Groot,Biogen,Joost Groot (Biogen)
Madeleine Gastonguay,Metrum,Madeleine Gastonguay (Metrum)
Jeannine Fisher,Metrum,Jeannine Fisher (Metrum)
Mark Rothe,Sanofi,Mark Rothe (Sanofi)
Matt Austin,Amgen,Matt Austin (Amgen)
David James,Novartis,David James (Novartis)
Joseph Rickert,RStudio,Joseph Rickert (RStudio)
Rena Yang,Roche / Genentech,Rena Yang (Roche / Genentech)
Nina Qi,Roche / Genentech,Nina Qi (Roche / Genentech)
Alison Margosikee,Novartis,Alison Margosikee (Novartis)
David Cooper,GSK,David Cooper (GSK)
Jessica Higgins,New Ventura,Jessica Higgins (New Ventura)
Sumesh Kalappurakal,Johnson & Johnson,Sumesh Kalappurakal (Johnson & Johnson)
Brian Waterhouse,Abbvie,Brian Waterhouse (Abbvie)
Sairam Gorthi,Johnson & Johnson,Sairam Gorthi (Johnson & Johnson)
Greg Cicconetti,Abbvie,Greg Cicconetti (Abbvie)
Ryan Spilker,Merck,Ryan Spilker (Merck)
Linna Liu,Abbott,Linna Liu (Abbott)
Axel Muehlig,Johnson & Johnson,Axel Muehlig (Johnson & Johnson)
Geoffrey Hannigan,Merck,Geoffrey Hannigan (Merck)
Bill Pikounis,Johnson & Johnson,Bill Pikounis (Johnson & Johnson)
Rajeshwar Malathker,Johnson & Johnson,Rajeshwar Malathker (Johnson & Johnson)
Stefan Englert,Abbvie,Stefan Englert (Abbvie)
Vivian Zhuang,FDA,Vivian Zhuang (FDA)
Shannon Lewis,Beigene,Shannon Lewis (Beigene)
Kimberly Ohn,Beigene,Kimberly Ohn (Beigene)
Huilei Xu,Novartis,Huilei Xu (Novartis)
Alan Hopkins,Beigene,Alan Hopkins (Beigene)
Eric Milliman,Biogen,Eric Milliman (Biogen)
David Lyder,Metrum,David Lyder (Metrum)
Jaishri Alladi,Johnson & Johnson,Jaishri Alladi (Johnson & Johnson)
Clement Benamara,Roche / Genentech,Clement Benamara (Roche / Genentech)
Eric Anderson,Metrum,Eric Anderson (Metrum)
Himanshu Pandya,Biogen,Himanshu Pandya (Biogen)
Jinesh Shah,CSL Behring,Jinesh Shah (CSL Behring)
Theresa Yuraszeck,CSL Behring,Theresa Yuraszeck (CSL Behring)
Anthony Williams,Fred Hutch,Anthony Williams (Fred Hutch)
Martin Klein,FDA,Martin Klein (FDA)
